,,Year,Month,Day,Hour,Minute,Second,x,y,theta,Record,U (m s^-1),V (m s^-1),W (m s^-1),TSonic (K),RH (%),T_HMP60 (C)
p1,484,2020.0,10.0,8.0,15.0,0.0,51.4,2.8,0.7,0.0,8246462.0,-0.008,-0.002,0.073,296.7,33.95,22.53
p1,485,2020.0,10.0,8.0,15.0,0.0,51.5,2.8,0.7,0.0,8246463.0,-0.008,-0.002,0.073,296.7,34.01,22.58
p1,486,2020.0,10.0,8.0,15.0,0.0,51.6,2.8,0.7,0.0,8246464.0,-0.008,-0.002,0.073,296.7,33.95,22.53
p1,487,2020.0,10.0,8.0,15.0,0.0,51.7,2.8,0.7,0.0,8246465.0,-0.008,-0.002,0.07400000000000001,296.7,33.95,22.53
p1,488,2020.0,10.0,8.0,15.0,0.0,51.8,2.8,0.7,0.0,8246466.0,-0.008,-0.002,0.073,296.7,33.95,22.53
p1,489,2020.0,10.0,8.0,15.0,0.0,51.9,2.8,0.7,0.0,8246467.0,-0.008,-0.002,0.07400000000000001,296.7,33.95,22.53
p1,490,2020.0,10.0,8.0,15.0,0.0,52.0,2.8,0.7,0.0,8246468.0,-0.008,-0.002,0.073,296.7,33.95,22.53
p1,491,2020.0,10.0,8.0,15.0,0.0,52.1,2.8,0.7,0.0,8246469.0,-0.008,-0.002,0.07400000000000001,296.7,33.95,22.53
p1,492,2020.0,10.0,8.0,15.0,0.0,52.2,2.8,0.7,0.0,8246470.0,0.012,0.009000000000000001,0.09300000000000001,296.8,33.95,22.53
p1,493,2020.0,10.0,8.0,15.0,0.0,52.3,2.8,0.7,0.0,8246471.0,0.012,0.008,0.09300000000000001,296.8,33.95,22.53
p1,494,2020.0,10.0,8.0,15.0,0.0,52.4,2.8,0.7,0.0,8246472.0,0.012,0.008,0.09300000000000001,296.8,33.95,22.53
p1,495,2020.0,10.0,8.0,15.0,0.0,52.5,2.8,0.7,0.0,8246473.0,0.012,0.009000000000000001,0.09300000000000001,296.8,33.95,22.53
p1,496,2020.0,10.0,8.0,15.0,0.0,52.6,2.8,0.7,0.0,8246474.0,0.012,0.009000000000000001,0.09300000000000001,296.8,33.95,22.53
p1,497,2020.0,10.0,8.0,15.0,0.0,52.7,2.8,0.7,0.0,8246475.0,0.012,0.008,0.09300000000000001,296.8,33.95,22.53
p1,498,2020.0,10.0,8.0,15.0,0.0,52.8,2.8,0.7,0.0,8246476.0,0.012,0.009000000000000001,0.09300000000000001,296.8,33.95,22.54
p1,499,2020.0,10.0,8.0,15.0,0.0,52.9,2.8,0.7,0.0,8246477.0,0.012,0.009000000000000001,0.09300000000000001,296.8,33.95,22.53
p1,500,2020.0,10.0,8.0,15.0,0.0,53.0,2.8,0.7,0.0,8246478.0,0.012,0.009000000000000001,0.09300000000000001,296.8,33.95,22.53
p1,501,2020.0,10.0,8.0,15.0,0.0,53.1,2.8,0.7,0.0,8246479.0,0.012,0.009000000000000001,0.09300000000000001,296.8,33.95,22.53
p1,502,2020.0,10.0,8.0,15.0,0.0,53.2,2.8,0.7,0.0,8246480.0,-0.008,-0.002,0.07400000000000001,296.8,33.95,22.53
p1,503,2020.0,10.0,8.0,15.0,0.0,53.3,2.8,0.7,0.0,8246481.0,-0.008,-0.002,0.07400000000000001,296.8,33.95,22.53
p1,504,2020.0,10.0,8.0,15.0,0.0,53.4,2.8,0.7,0.0,8246482.0,-0.008,-0.002,0.073,296.8,33.95,22.53
p1,505,2020.0,10.0,8.0,15.0,0.0,53.5,2.8,0.7,0.0,8246483.0,-0.008,-0.002,0.073,296.9,33.95,22.53
p1,506,2020.0,10.0,8.0,15.0,0.0,53.6,2.8,0.7,0.0,8246484.0,-0.008,-0.002,0.07400000000000001,296.9,33.95,22.53
p1,507,2020.0,10.0,8.0,15.0,0.0,53.7,2.8,0.7,0.0,8246485.0,-0.008,-0.002,0.07400000000000001,296.8,33.95,22.53
p1,508,2020.0,10.0,8.0,15.0,0.0,53.8,2.8,0.7,0.0,8246486.0,-0.008,-0.002,0.073,296.8,33.95,22.53
p1,509,2020.0,10.0,8.0,15.0,0.0,53.9,2.8,0.7,0.0,8246487.0,-0.008,-0.002,0.073,296.8,33.95,22.53
p1,510,2020.0,10.0,8.0,15.0,0.0,54.0,2.8,0.7,0.0,8246488.0,-0.008,-0.002,0.07400000000000001,296.8,34.01,22.57
