,,Year,Month,Day,Hour,Minute,Second,x,y,theta,Record,U (m s^-1),V (m s^-1),W (m s^-1),TSonic (K),RH (%),T_HMP60 (C)
p1,418,2020.0,9.0,29.0,11.0,43.0,8.6,2.8,0.7,0.0,3230658.0,0.031,-0.002,0.044000000000000004,297.7,43.11,23.28
p1,419,2020.0,9.0,29.0,11.0,43.0,8.7,2.8,0.7,0.0,3230659.0,0.031,-0.002,0.044000000000000004,297.7,43.11,23.28
p1,420,2020.0,9.0,29.0,11.0,43.0,8.8,2.8,0.7,0.0,3230660.0,-0.047,-0.051,0.073,297.7,43.11,23.28
p1,421,2020.0,9.0,29.0,11.0,43.0,8.9,2.8,0.7,0.0,3230661.0,-0.047,-0.051,0.073,297.7,43.11,23.28
p1,422,2020.0,9.0,29.0,11.0,43.0,9.0,2.8,0.7,0.0,3230662.0,-0.047,-0.051,0.073,297.7,43.1,23.28
p1,423,2020.0,9.0,29.0,11.0,43.0,9.1,2.8,0.7,0.0,3230663.0,-0.048,-0.051,0.073,297.7,43.1,23.28
p1,424,2020.0,9.0,29.0,11.0,43.0,9.2,2.8,0.7,0.0,3230664.0,-0.047,-0.051,0.073,297.7,43.1,23.28
p1,425,2020.0,9.0,29.0,11.0,43.0,9.3,2.8,0.7,0.0,3230665.0,-0.018000000000000002,-0.08,0.147,297.8,43.1,23.28
p1,426,2020.0,9.0,29.0,11.0,43.0,9.4,2.8,0.7,0.0,3230666.0,-0.018000000000000002,-0.081,0.147,297.8,43.13,23.28
p1,427,2020.0,9.0,29.0,11.0,43.0,9.5,2.8,0.7,0.0,3230667.0,-0.018000000000000002,-0.081,0.146,297.8,43.1,23.28
p1,428,2020.0,9.0,29.0,11.0,43.0,9.6,2.8,0.7,0.0,3230668.0,-0.048,-0.051,0.073,297.8,43.1,23.28
p1,429,2020.0,9.0,29.0,11.0,43.0,9.7,2.8,0.7,0.0,3230669.0,-0.047,-0.051,0.073,297.8,43.1,23.28
p1,430,2020.0,9.0,29.0,11.0,43.0,9.8,2.8,0.7,0.0,3230670.0,-0.027999999999999997,-0.002,0.09300000000000001,297.8,43.1,23.28
p1,431,2020.0,9.0,29.0,11.0,43.0,9.9,2.8,0.7,0.0,3230671.0,-0.027999999999999997,-0.002,0.09300000000000001,297.8,43.1,23.28
p1,432,2020.0,9.0,29.0,11.0,43.0,10.0,2.8,0.7,0.0,3230672.0,-0.027999999999999997,-0.002,0.09300000000000001,297.8,43.1,23.28
p1,433,2020.0,9.0,29.0,11.0,43.0,10.1,2.8,0.7,0.0,3230673.0,-0.018000000000000002,-0.081,0.07400000000000001,297.8,43.1,23.28
p1,434,2020.0,9.0,29.0,11.0,43.0,10.2,2.8,0.7,0.0,3230674.0,-0.018000000000000002,-0.081,0.073,297.8,43.1,23.28
p1,435,2020.0,9.0,29.0,11.0,43.0,10.3,2.8,0.7,0.0,3230675.0,0.07,-0.051,0.073,297.8,43.1,23.28
p1,436,2020.0,9.0,29.0,11.0,43.0,10.4,2.8,0.7,0.0,3230676.0,0.07,-0.051,0.073,297.8,43.1,23.28
p1,437,2020.0,9.0,29.0,11.0,43.0,10.5,2.8,0.7,0.0,3230677.0,0.07,-0.051,0.073,297.8,43.1,23.28
p1,438,2020.0,9.0,29.0,11.0,43.0,10.6,2.8,0.7,0.0,3230678.0,0.061,-0.040999999999999995,-0.006,297.7,43.1,23.28
p1,439,2020.0,9.0,29.0,11.0,43.0,10.7,2.8,0.7,0.0,3230679.0,0.06,-0.040999999999999995,-0.006,297.7,43.14,23.34
p1,440,2020.0,9.0,29.0,11.0,43.0,10.8,2.8,0.7,0.0,3230680.0,0.022000000000000002,-0.002,-0.016,297.6,43.1,23.28
p1,441,2020.0,9.0,29.0,11.0,43.0,10.9,2.8,0.7,0.0,3230681.0,0.021,-0.002,-0.016,297.6,43.09,23.28
p1,442,2020.0,9.0,29.0,11.0,43.0,11.0,2.8,0.7,0.0,3230682.0,0.021,-0.002,-0.016,297.6,43.09,23.28
p1,443,2020.0,9.0,29.0,11.0,43.0,11.1,2.8,0.7,0.0,3230683.0,-0.008,-0.002,-0.006,297.6,43.09,23.28
